Crdc.0.Ped.217:	39.70
Crdc.0.Ped.218:	38.73
Crdc.0.Ped.219:	73.46
Crdc.0.Ped.220:	78.30
Crdc.0.Ped.221:	44.49
Crdc.0.Ped.222:	37.84
Crdc.0.Ped.223:	70.82

Crdc.1.Ped.000:	112.64
Crdc.1.Ped.001:	110.05
Crdc.1.Ped.002:	123.83
Crdc.1.Ped.003:	117.50
Crdc.1.Ped.004:	116.66
Crdc.1.Ped.005:	117.80
Crdc.1.Ped.006:	119.09
Crdc.1.Ped.007:	103.97
Crdc.1.Ped.008:	123.66
Crdc.1.Ped.009:	120.35
Crdc.1.Ped.010:	119.38
Crdc.1.Ped.011:	117.49
Crdc.1.Ped.012:	107.19
Crdc.1.Ped.013:	127.98
Crdc.1.Ped.014:	113.18
Crdc.1.Ped.015:	124.10
Crdc.1.Ped.016:	127.47
Crdc.1.Ped.017:	135.34
Crdc.1.Ped.018:	133.93
Crdc.1.Ped.019:	132.73
Crdc.1.Ped.020:	129.02
Crdc.1.Ped.021:	127.42
Crdc.1.Ped.022:	140.08
Crdc.1.Ped.023:	114.93
Crdc.1.Ped.024:	133.48
Crdc.1.Ped.025:	131.67
Crdc.1.Ped.026:	121.36
Crdc.1.Ped.027:	125.84
Crdc.1.Ped.028:	119.84
Crdc.1.Ped.029:	118.77
Crdc.1.Ped.030:	125.30
Crdc.1.Ped.031:	110.02
Crdc.1.Ped.032:	164.27
Crdc.1.Ped.033:	161.08
Crdc.1.Ped.034:	164.24
Crdc.1.Ped.035:	155.27
Crdc.1.Ped.036:	155.71
Crdc.1.Ped.037:	146.93
Crdc.1.Ped.038:	162.06
Crdc.1.Ped.039:	147.53
Crdc.1.Ped.040:	138.39
Crdc.1.Ped.041:	132.09
Crdc.1.Ped.042:	138.26
Crdc.1.Ped.043:	133.88
Crdc.1.Ped.044:	143.50
Crdc.1.Ped.045:	127.35
Crdc.1.Ped.046:	149.18
Crdc.1.Ped.047:	145.80
Crdc.1.Ped.048:	142.15
Crdc.1.Ped.049:	137.97
Crdc.1.Ped.050:	120.72
Crdc.1.Ped.051:	142.44
Crdc.1.Ped.052:	135.93
Crdc.1.Ped.053:	123.11
Crdc.1.Ped.054:	125.07
Crdc.1.Ped.055:	123.31
Crdc.1.Ped.056:	123.86
Crdc.1.Ped.057:	137.34
Crdc.1.Ped.058:	129.71
Crdc.1.Ped.059:	114.37
Crdc.1.Ped.060:	131.92
Crdc.1.Ped.061:	123.37
Crdc.1.Ped.062:	117.27
Crdc.1.Ped.063:	134.43
Crdc.1.Ped.064:	125.06
Crdc.1.Ped.065:	124.41
Crdc.1.Ped.066:	120.76
Crdc.1.Ped.067:	131.27
